iteration	energy	residual_norm	L2-error	H1-error
3520	-7.336309e+01	1.094836e-02	1.715767e-02	1.216131e-01
3530	-7.336310e+01	3.822371e-03	1.710031e-02	1.215967e-01
3540	-7.336310e+01	4.308660e-03	1.720106e-02	1.216464e-01
3550	-7.336310e+01	5.287256e-03	1.718858e-02	1.216457e-01
3560	-7.336309e+01	2.237063e-03	1.721030e-02	1.216879e-01
3570	-7.336310e+01	9.780863e-03	1.723003e-02	1.216998e-01
3580	-7.336310e+01	1.021236e-02	1.711662e-02	1.215783e-01
3590	-7.336310e+01	2.207099e-03	1.711405e-02	1.215665e-01
3600	-7.336310e+01	2.255357e-02	1.712119e-02	1.215632e-01
3610	-7.336310e+01	1.126152e-01	1.706076e-02	1.215543e-01
3620	-7.336310e+01	8.665921e-02	1.710991e-02	1.215341e-01
3630	-7.336310e+01	8.141779e-02	1.692331e-02	1.214591e-01
3640	-7.336313e+01	3.546415e-02	1.709491e-02	1.216406e-01
3650	-7.336313e+01	1.455392e-02	1.715331e-02	1.217458e-01
3660	-7.336313e+01	3.987772e-03	1.710017e-02	1.217352e-01
3670	-7.336313e+01	4.432970e-03	1.714898e-02	1.217591e-01
3680	-7.336314e+01	7.174147e-03	1.721163e-02	1.218675e-01
3690	-7.336315e+01	1.487671e-02	1.703235e-02	1.218445e-01
3700	-7.336323e+01	1.209062e-01	1.819998e-02	1.229137e-01
3710	-7.336325e+01	1.378550e-02	1.735531e-02	1.228529e-01
3720	-7.336325e+01	1.778612e-02	1.742576e-02	1.228842e-01
3730	-7.336328e+01	1.637929e-02	1.713343e-02	1.225175e-01
3740	-7.336329e+01	6.836256e-03	1.717358e-02	1.225907e-01
3750	-7.336329e+01	2.256417e-02	1.761622e-02	1.232295e-01
3760	-7.336330e+01	8.961371e-04	1.742289e-02	1.232272e-01
3770	-7.336330e+01	1.548505e-03	1.743239e-02	1.232349e-01
3780	-7.336330e+01	4.433683e-03	1.711332e-02	1.231069e-01
3790	-7.336336e+01	1.104454e-01	1.724076e-02	1.231694e-01
3800	-7.336337e+01	3.845228e-03	1.727127e-02	1.231683e-01
3810	-7.336337e+01	4.127241e-03	1.720169e-02	1.231425e-01
3820	-7.336339e+01	1.362481e-02	1.728525e-02	1.232205e-01
3830	-7.336340e+01	1.949410e-01	1.716104e-02	1.231519e-01
3840	-7.336340e+01	6.970605e-02	1.716517e-02	1.232117e-01
3850	-7.336340e+01	3.647953e-01	1.715562e-02	1.232234e-01
3860	-7.336340e+01	5.848772e-02	1.717921e-02	1.232028e-01
3870	-7.336341e+01	2.053139e-02	1.719576e-02	1.232014e-01
