iteration	energy	residual_norm
551	-7.335829e+01	6.401147e-02
552	-7.335830e+01	5.112364e-04
553	-7.335830e+01	9.788670e-03
554	-7.335830e+01	3.943866e-03
555	-7.335830e+01	4.649303e-04
556	-7.335830e+01	1.090729e-01
557	-7.335830e+01	2.508846e-04
558	-7.335830e+01	1.433311e-03
559	-7.335830e+01	5.208391e-03
560	-7.335830e+01	6.912173e-04
561	-7.335830e+01	1.195548e-03
562	-7.335830e+01	5.906384e-03
563	-7.335830e+01	2.016083e-02
564	-7.335830e+01	1.275160e-03
565	-7.335830e+01	2.484587e-02
566	-7.335830e+01	1.026012e-03
567	-7.335830e+01	1.665453e-03
568	-7.335830e+01	7.100874e-04
569	-7.335830e+01	4.372516e-04
570	-7.335830e+01	4.146042e-04
571	-7.335830e+01	8.880989e-03
572	-7.335833e+01	4.764102e-03
573	-7.335833e+01	2.677265e-03
574	-7.335833e+01	9.994167e-05
575	-7.335833e+01	2.969776e-03
576	-7.335833e+01	2.642263e-02
577	-7.335833e+01	6.392926e-03
578	-7.335833e+01	3.718668e-03
579	-7.335833e+01	1.296242e-01
580	-7.335834e+01	7.124801e-04
581	-7.335834e+01	4.138245e-04
582	-7.335834e+01	3.306470e-04
583	-7.335834e+01	5.523143e-04
584	-7.335834e+01	3.616885e-02
585	-7.335834e+01	8.953829e-03
586	-7.335834e+01	3.040530e-03
587	-7.335834e+01	2.646208e-02
588	-7.335834e+01	4.627880e-02
589	-7.335835e+01	4.159146e-04
590	-7.335835e+01	1.521328e-02
591	-7.335835e+01	2.571938e-04
592	-7.335835e+01	2.250207e-03
593	-7.335835e+01	8.101225e-01
594	-7.335838e+01	5.061325e-02
595	-7.335842e+01	6.406174e-03
596	-7.335842e+01	1.175291e-02
597	-7.335842e+01	4.184112e-02
598	-7.335843e+01	5.659794e-04
599	-7.335843e+01	5.299615e-04
600	-7.335843e+01	2.134573e-03
601	-7.335843e+01	6.879799e-03
602	-7.335843e+01	2.586935e-03
603	-7.335843e+01	8.174279e-04
604	-7.335843e+01	3.450621e-03
605	-7.335843e+01	8.072440e-05
606	-7.335843e+01	7.415638e-03
607	-7.335843e+01	1.012097e-01
608	-7.335843e+01	1.829871e-04
609	-7.335843e+01	1.960105e-03
610	-7.335843e+01	9.950080e-05
611	-7.335843e+01	1.843617e-04
612	-7.335843e+01	8.203798e-05
613	-7.335843e+01	2.117487e-04
614	-7.335843e+01	9.863661e-05
615	-7.335843e+01	7.311752e-03
616	-7.335843e+01	4.560480e-04
617	-7.335843e+01	3.472019e-04
618	-7.335843e+01	5.861386e-01
619	-7.335843e+01	2.385603e-04
620	-7.335843e+01	5.908206e-04
621	-7.335843e+01	1.585288e-03
622	-7.335843e+01	4.909663e-05
623	-7.335843e+01	7.189339e-03
624	-7.335843e+01	9.300487e-05
625	-7.335843e+01	5.066160e-04
626	-7.335843e+01	3.103468e-04
627	-7.335843e+01	1.541950e-05
628	-7.335843e+01	2.393445e-05
629	-7.335843e+01	2.055137e-04
630	-7.335843e+01	3.630777e-05
631	-7.335843e+01	6.251811e-05
632	-7.335843e+01	1.187316e-02
633	-7.335843e+01	3.658029e-04
634	-7.335844e+01	4.698194e-01
635	-7.335844e+01	1.080337e-01
636	-7.335845e+01	1.630889e-03
637	-7.335845e+01	4.824808e-02
638	-7.335845e+01	1.512423e-03
639	-7.335845e+01	9.008570e-04
640	-7.335845e+01	1.875420e-02
641	-7.335845e+01	8.966483e-03
642	-7.335845e+01	7.017959e-04
643	-7.335845e+01	8.073177e-04
644	-7.335845e+01	1.520083e-03
645	-7.335845e+01	3.747962e-03
646	-7.335845e+01	4.406692e-03
647	-7.335845e+01	1.210234e-02
648	-7.335846e+01	6.102609e-02
649	-7.335846e+01	1.942661e-04
650	-7.335846e+01	1.786335e-03
651	-7.335846e+01	6.579238e-03
652	-7.335846e+01	2.813299e-04
653	-7.335847e+01	3.031533e-02
654	-7.335847e+01	1.295204e-03
655	-7.335847e+01	4.055860e-03
656	-7.335847e+01	8.598753e-04
657	-7.335847e+01	1.539014e-03
658	-7.335847e+01	3.763570e-05
659	-7.335847e+01	3.309986e-04
660	-7.335847e+01	4.165368e-04
661	-7.335847e+01	3.849349e-05
662	-7.335847e+01	1.198028e-03
663	-7.335847e+01	9.016191e-05
664	-7.335847e+01	2.123019e-03
665	-7.335847e+01	1.455214e-03
666	-7.335847e+01	1.154043e-02
667	-7.335847e+01	5.607525e-03
668	-7.335847e+01	8.440948e-05
669	-7.335847e+01	3.967778e-02
670	-7.335847e+01	6.785065e-02
671	-7.335847e+01	2.075987e-03
672	-7.335847e+01	9.542596e-04
673	-7.335847e+01	2.188648e-03
674	-7.335847e+01	2.294518e-04
675	-7.335847e+01	5.247253e-03
676	-7.335847e+01	4.955406e-03
677	-7.335847e+01	3.966155e-04
678	-7.335847e+01	1.485496e-01
679	-7.335847e+01	1.242550e-03
680	-7.335847e+01	4.500591e-02
681	-7.335847e+01	3.546283e-01
682	-7.335848e+01	1.339414e-02
683	-7.335848e+01	3.906169e-04
684	-7.335848e+01	7.015015e-04
685	-7.335848e+01	1.230807e-02
686	-7.335848e+01	3.977713e-03
687	-7.335848e+01	1.272866e-02
688	-7.335848e+01	3.166993e-04
689	-7.335848e+01	2.509645e-02
690	-7.335848e+01	3.169227e-03
691	-7.335848e+01	9.500178e-03
692	-7.335848e+01	1.048572e-01
693	-7.335848e+01	7.207927e-04
694	-7.335848e+01	3.937331e-04
695	-7.335848e+01	9.511592e-05
696	-7.335848e+01	4.763844e-04
697	-7.335848e+01	1.323022e-02
698	-7.335848e+01	2.796144e-03
699	-7.335848e+01	1.202389e-02
700	-7.335849e+01	4.372273e-01
701	-7.335849e+01	1.300543e-02
702	-7.335849e+01	1.988864e-04
703	-7.335849e+01	9.627643e-03
704	-7.335849e+01	5.417310e-05
705	-7.335849e+01	3.739468e-03
706	-7.335849e+01	2.190105e-03
707	-7.335849e+01	1.750565e-03
708	-7.335849e+01	4.067507e-03
709	-7.335849e+01	4.327556e-04
710	-7.335849e+01	3.980952e-04
711	-7.335849e+01	3.372109e-03
712	-7.335849e+01	1.061268e-03
713	-7.335849e+01	5.685024e-05
714	-7.335849e+01	4.435344e-03
715	-7.335849e+01	4.030227e-03
716	-7.335849e+01	4.525910e-03
717	-7.335849e+01	1.823852e-02
718	-7.335849e+01	6.810517e-05
719	-7.335849e+01	4.063816e-02
720	-7.335849e+01	4.201022e-03
721	-7.335849e+01	9.321577e-03
722	-7.335849e+01	9.556616e-01
723	-7.335856e+01	1.832951e-02
724	-7.335859e+01	6.969179e-02
725	-7.335859e+01	7.117529e-02
726	-7.335864e+01	6.468910e-02
727	-7.335864e+01	8.787745e-03
728	-7.335864e+01	4.392410e-02
729	-7.335868e+01	2.056716e-03
730	-7.335868e+01	1.197980e-01
731	-7.335869e+01	1.796629e-01
732	-7.335871e+01	2.603707e-03
