iteration	energy	residual_norm	L2-error	H1-error
2160	-7.336152e+01	5.052731e-03	1.630506e-02	9.822908e-02
2170	-7.336155e+01	1.562295e-02	1.667174e-02	9.873249e-02
2180	-7.336155e+01	1.730739e-03	1.653363e-02	9.869207e-02
2190	-7.336155e+01	2.251510e-03	1.646705e-02	9.869895e-02
2200	-7.336155e+01	2.293856e-03	1.648805e-02	9.871011e-02
2210	-7.336163e+01	1.526910e-01	1.659438e-02	1.000873e-01
2220	-7.336167e+01	1.344000e-04	1.678272e-02	1.009986e-01
2230	-7.336167e+01	6.631320e-03	1.629400e-02	1.008380e-01
2240	-7.336173e+01	1.620275e-02	1.657942e-02	1.015447e-01
2250	-7.336173e+01	1.178754e-03	1.645962e-02	1.016909e-01
2260	-7.336177e+01	1.111043e-03	1.764100e-02	1.030891e-01
2270	-7.336179e+01	1.471114e-03	1.703849e-02	1.032219e-01
2280	-7.336181e+01	1.145855e+00	1.698987e-02	1.028465e-01
2290	-7.336183e+01	1.179566e-03	1.661612e-02	1.027158e-01
2300	-7.336185e+01	1.082190e-01	1.665671e-02	1.029034e-01
2310	-7.336213e+01	4.061293e-04	1.788372e-02	1.085650e-01
2320	-7.336214e+01	6.059890e-04	1.789703e-02	1.085289e-01
2330	-7.336217e+01	8.242833e-01	1.773691e-02	1.081445e-01
2340	-7.336219e+01	5.660240e-04	1.752025e-02	1.079715e-01
2350	-7.336221e+01	2.186625e-02	1.845783e-02	1.081632e-01
2360	-7.336227e+01	3.606701e-04	1.739103e-02	1.074508e-01
2370	-7.336229e+01	8.015920e-03	1.710945e-02	1.073105e-01
2380	-7.336234e+01	2.487870e-04	1.739721e-02	1.073808e-01
2390	-7.336235e+01	4.682383e-03	1.740736e-02	1.074062e-01
2400	-7.336264e+01	1.385694e-03	1.796578e-02	1.098908e-01
2410	-7.336264e+01	1.388947e-02	1.799965e-02	1.099039e-01
2420	-7.336264e+01	1.783876e-02	1.798524e-02	1.098936e-01
2430	-7.336267e+01	4.012529e-03	1.744483e-02	1.094243e-01
2440	-7.336268e+01	3.828135e-02	1.769455e-02	1.094775e-01
2450	-7.336278e+01	2.190512e-03	1.749444e-02	1.090260e-01
